Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CCAL0512;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0513;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0513;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0514;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0514;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0515;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0515;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0637;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0637;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0638;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0638;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0639;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0639;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0640;PLAST-60;CCAL0086;;;;Non spécifié;;1;/;
PLAST-60;CCAL0640;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0641;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0641;PLAST-60;CCAL0310;;;;Non spécifié;;1;/;
PLAST-60;CCAL0643;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0643;PLAST-60;CCAL0310;;;;Non spécifié;;1;/;
PLAST-60;CCAL0644;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0644;PLAST-60;CCAL0311;;;;Non spécifié;;1;/;
PLAST-60;CCAL0645;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0645;PLAST-60;CCAL0311;;;;Non spécifié;;1;/;
PLAST-60;CCAL0646;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0646;PLAST-60;CCAL0311;;;;Non spécifié;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0007;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0008;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0009;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0010;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0315;;;;;;1;/;
