Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
FEP;FEP-009;Pressure sensor;Identification : CLAB0253, N° de Série : 16CD849;CFEP0272-P05;-300/600 mbar;±1,5 mbar;Conforme;Alerte Etalonnage/Vérification;09/08/2022 10:23;09/08/2023 10:23;12 Mois;6940100;15/06/2021: instrument en maintenance, voir soft en cours. instrument en prison
FEP;FEP-009;Thermocouple;;CFEP0272-T01;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:03;09/08/2023 15:03;12 Mois;T1;
FEP;FEP-009;Thermocouple;;CFEP0272-T02;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:07;09/08/2023 15:07;12 Mois;t2;
FEP;FEP-009;Thermocouple;;CFEP0272-T03;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:10;09/08/2023 15:10;12 Mois;T3;
FEP;FEP-009;Thermocouple;;CFEP0272-T04;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:12;09/08/2023 15:12;12 Mois;T4;
FEP;FEP-009;Thermocouple;;CFEP0272-T05;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:16;09/08/2023 15:16;12 Mois;T5;
FEP;FEP-009;Thermocouple;;CFEP0272-T06;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:18;09/08/2023 15:18;12 Mois;T6;
FEP;FEP-009;Thermocouple;;CFEP0272-T07;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:20;09/08/2023 15:20;12 Mois;T7;
FEP;FEP-009;Thermocouple;;CFEP0272-T08;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:21;09/08/2023 15:21;12 Mois;T8;
FEP;FEP-009;Thermocouple;;CFEP0272-T09;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:23;09/08/2023 15:23;12 Mois;T9;
FEP;FEP-009;Thermocouple;;CFEP0272-T10;-40/+80 °C;±1,5 °C;Conforme;Alerte Etalonnage/Vérification;09/08/2022 15:25;09/08/2023 15:25;12 Mois;T10;
FEP;FEP-051;Soaking room;;CFEP0312;0/+45 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;20/06/2022 14:01;20/06/2023 14:01;12 Mois;60 226 234 380 010;
IVC;IVC\PROTO;Four thermostaté;;CIVC0030;150 °C;± 5 °C;Conforme;Alerte Etalonnage/Vérification;15/06/2021 13:26;15/06/2023 13:26;24 Mois;5,95E+13;
IVC;IVC\PROTO;Banc de traction;;CIVC0031;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;11/07/2022 00:00;11/07/2023 00:00;12 Mois;SANS;
IVC;IVC\SCR (BANC DE TRACTION);Banc de traction;Identification : CIVC0036, N° de Série : SANS;CIVC0035;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;11/07/2022 00:00;11/07/2023 00:00;12 Mois;SANS;
IVC;IVC\SCR (BANC DE TRACTION);Capteur de force;;CIVC0036;500N /+10kN;+/-0,5%;Conforme;Alerte Etalonnage/Vérification;11/07/2022 13:46;11/07/2023 13:46;12 Mois;SANS;
IVC;IVC\PROTO;Pied à coulisse;;CIVC0065;0/+160mm;± 0,1 mm;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;sans;
IVC;IVC\SCR;Pied à coulisse;;CIVC0074;0/+150mm;± 0,1 mm;Conforme;Alerte Etalonnage/Vérification;09/08/2022 00:00;09/08/2023 00:00;12 Mois;sans;
IVC;APL - GAUGING STATION;Thermocouple;;CIVC0117;-40/+100 °C;±2 °C;;Perdu;;;;;
SCR;A-SCR-02;NI USB 6211;;CLAB0398;"Analog Input: -10/10 V; -5/5 V; Counter: 0/5 Mhz";"Analog Input: -10/10 V; -5/5 V Counter: 0/5 Mhz";Conforme;Alerte Etalonnage/Vérification;05/08/2020 00:00;05/08/2023 00:00;36 Mois;1B82ECA;
SCR;A-SCR-02;NI 9211;;CLAB0399;-80/+80 mV;±0,06 %RV;Conforme;En service;17/08/2020 00:00;17/08/2023 00:00;36 Mois;1BC2E30;
SCR;PPM-SCR-02;NI 9211;;CLAB0400;-80/+80 mV;±0,06 %RV;Conforme;En service;17/08/2020 21:27;17/08/2023 21:27;36 Mois;1BC2E74;
LMA;LMA001 (BANC TRACTION);Load sensor;;CLMA0003;0/10000 N;±0,5 %RV;Conforme;Alerte Etalonnage/Vérification;12/07/2022 00:00;12/07/2023 00:00;12 Mois;108406;
LMA;LMA001 (BANC TRACTION);Load sensor;;CLMA0004;0/1000 N;±0,5 %RV;Conforme;Alerte Etalonnage/Vérification;12/07/2022 00:00;12/07/2023 00:00;12 Mois;108406;
LMA;LMA001 (BANC TRACTION);Speed sensor;;CLMA0006;0/500 mm/min;±0,5 %RV;Conforme;Alerte Etalonnage/Vérification;12/07/2022 00:00;12/07/2023 00:00;12 Mois;108406;
MET;LMA009 (PROJECTEUR DE PROFIL);Profil projector;;CLMA0007;0/100 mm;±4 µm;Conforme;Retard (dans tolérance) Etalonnage/Vérification;01/06/2021 11:43;01/06/2023 11:43;24 Mois;590133;
LMA;MET-026 BANC CHOC DE MASSE;Length gauge;;CLMA0011-A;0/500 mm;± 1 mm;Conforme;En service;17/08/2021 11:16;17/08/2023 11:16;24 Mois;NA;
LMA;MET-026 BANC CHOC DE MASSE;Length gauge;;CLMA0011-B;0/500 mm;± 1 mm;Conforme;En service;17/08/2021 11:24;17/08/2023 11:24;24 Mois;NA;
LMA;MET-026 BANC CHOC DE MASSE;Length gauge;;CLMA0011-C;0/500 mm;± 1 mm;Conforme;En service;17/08/2021 11:21;17/08/2023 11:21;24 Mois;NA;
LMA;LMA012 (BANC PROPRETÉ);Scale;;CLMA0014;0/220 g;±0,01 g;Conforme;Etalonnage/Vérification en cours;07/06/2021 10:20;07/06/2023 10:20;24 Mois;XS204DR;
LMA;LMA001 (BANC TRACTION);Pull test bench;"Identification : CLMA0003, N° de Série : 108406
Identification : CLMA0004, N° de Série : 108406
Identification : CLMA0053, N° de Série : 100N0656";CLMA0019;;/;Conforme;Alerte Etalonnage/Vérification;12/07/2022 13:58;12/07/2023 13:58;12 Mois;NA;
LMA;ARMOIRE;Temperature display;;CLMA0049;-40/+190 °C;±2 °C;Conforme;En service;23/08/2021 15:15;23/08/2023 15:15;24 Mois;NA;
LMA;LMA001 (BANC TRACTION);Load sensor;;CLMA0053;0/100 N;±0,5 %RV;Conforme;Alerte Etalonnage/Vérification;12/07/2022 13:57;12/07/2023 13:57;12 Mois;100N0656;
EPE;A-ATEX-01;Pressure sensor;;CMAG0030;-100/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;15/07/2021 08:35;15/07/2023 08:35;24 Mois;2742595;
EPE;A-ATEX-01;Pressure sensor;;CMAG0032;-500/+500 mbar;±4 mbar;Conforme;Alerte Etalonnage/Vérification;19/07/2021 16:05;19/07/2023 16:05;24 Mois;2562724;
EPE;A-ATEX-01;Pressure sensor;;CMAG0033;0/250 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;19/07/2021 09:07;19/07/2023 09:07;24 Mois;2116554;
EPE;A-ATEX-01;Pressure sensor;;CMAG0037;-400/+400 mbar;±2 mbar;Conforme;Alerte Etalonnage/Vérification;19/07/2021 16:18;19/07/2023 16:18;24 Mois;2116559;
EPE;A-ATEX-01;Pressure sensor;;CMAG0038;-100/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;15/07/2021 08:31;15/07/2023 08:31;24 Mois;2742593;
EPE;A-ATEX-01;Pressure sensor;;CMAG0041;0/1 bar;±10 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 13:49;23/07/2023 13:49;24 Mois;485163;
EPE;A-ATEX-01;Pressure sensor;;CMAG0044;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;15/07/2021 08:19;15/07/2023 08:19;24 Mois;2749896;
EPE;A-ATEX-01;Pressure sensor;;CMAG0047;0/100 mbar;±0,5 mbar;Conforme;Etalonnage/Vérification en cours;06/06/2021 00:00;06/06/2023 00:00;24 Mois;2690855;"0/100 mbar

Disparu depuis le 17/03/2017"
EPE;A-ATEX-01;Pressure sensor;;CMAG0048;0/250 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;19/07/2021 09:15;19/07/2023 09:15;24 Mois;1469273;
EPE;A-ATEX-01;Pressure sensor;;CMAG0049;-100/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;15/07/2021 00:00;15/07/2023 00:00;24 Mois;2699199;
EPE;A-ATEX-01;Pressure sensor;;CMAG0050;0/10 bar;±20 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 09:36;23/07/2023 09:36;24 Mois;2617916;
MET;A-MET-01;Three points micrometer;;CMAG0062;12/16 mm;±5 µm;Conforme;Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;NA;
MET;ARMOIRE;Bore micrometer;;CMAG00625;4,5/5,5 mm;±5 µm;Conforme;Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;/;
MET;ARMOIRE;Standard ring;;CMAG0068;16 mm;±5 µm;Conforme;Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;122451;
MET;A-MET-01;Three points micrometer;;CMAG0069;12/16 mm;±5 µm;Conforme;Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;246348;
MET;A-MET-01;Three points micrometer;;CMAG0070;16/20 mm;±5 µm;Conforme;Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;245907;
EPE;A-ATEX-01;Pressure sensor;;CMAG0094;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 13:41;13/07/2023 13:41;24 Mois;2439840;
MET;ARMOIRE;Mechanical comparator;;CMAG0099;0/20 mm;±0,02 mm;Conforme;Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;7305;
EPE;A-ATEX-01;Pressure sensor;;CMAG0103;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 15:08;13/07/2023 15:08;24 Mois;2749892;
SCR;A-SCR-02;Caliper;;CMAG0107;0/200 mm;±0,1 mm;Conforme;Envoi Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;NA;
COM;A-COM-01;Torque wrench;;CMAG0109;40/200 Nm;±4 %RV;Conforme;Alerte Etalonnage/Vérification;27/07/2021 11:28;27/07/2023 11:28;24 Mois;221933;
MET;ARMOIRE;Mechanical comparator;;CMAG0111;0/10 mm;±0,05 mm;Conforme;Envoi Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;NA;
EPE;A-ATEX-01;Pressure sensor;;CMAG0155;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 11:30;13/07/2023 11:30;24 Mois;2749889;
MET;ARMOIRE BASE;Height gauge;;CMAG0179;0/300 mm;±0,1 mm;;Perdu;;;;NA;
COM;A-COM-01;Height gauge;;CMAG0182;0/300 mm;±0,1 mm;;Perdu;;;;NA;
EPE;A-ATEX-01;Pressure sensor;;CMAG0185;0/250 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;20/07/2021 13:36;20/07/2023 13:36;24 Mois;NA;
EPE;A-ATEX-01;Pressure sensor;;CMAG0187;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 13:58;13/07/2023 13:58;24 Mois;2749895;
EPE;A-ATEX-01;Pressure sensor;;CMAG0188;-100/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;15/07/2021 08:26;15/07/2023 08:26;24 Mois;2699201;
EPE;A-ATEX-01;Pressure sensor;;CMAG0190;0/100 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 14:48;13/07/2023 14:48;24 Mois;2439832;
EPE;A-ATEX-01;Pressure gauge;;CMAG0219;0/+70 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 11:02;13/07/2023 11:02;24 Mois;70525697;
EPE;R-ATEX-01 (P. BAUDET);Chronometer;;CMAG0230;0/1 h;±1 s;Conforme;Etalonnage/Vérification en cours;20/05/2021 15:56;20/05/2023 15:56;24 Mois;NA;
MET;R-MET-02 (T. ESCANDE);Chronometer;;CMAG0232;0/1 h;±1 s;Conforme;Etalonnage/Vérification en cours;10/05/2021 10:09;10/05/2023 10:09;24 Mois;NA;
EPE;A-ATEX-01;Pressure sensor;;CMAG0261;0/10 bar;±20 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 11:37;23/07/2023 11:37;24 Mois;10131387;
EPE;A-ATEX-02;Display of Field meter;;CMAG0269;-20/+20 kV;±5 %RV;Conforme;Envoi Envoi Etalonnage/Vérific en cours;28/10/2020 00:00;28/10/2022 00:00;24 Mois;122966;
EPE;A-ATEX-01;Pressure sensor;;CMAG0271;-100/+100 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;13/07/2021 00:00;13/07/2023 00:00;24 Mois;2365420/2006;
EPE;A-ATEX-01;Pressure gauge;;CMAG0285;0/197 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;19/07/2021 09:37;19/07/2023 09:37;24 Mois;799803;
EPE;A-ATEX-02;Pressure gauge;;CMAG0302;-1/+3 bar;±30 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 08:25;23/07/2023 08:25;24 Mois;50906;
EPE;A-ATEX-02;Pressure gauge;;CMAG0303;-1/+3 bar;±30 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 09:06;23/07/2023 09:06;24 Mois;50922;
COM;A-COM-02;X channel data logger;;CMAG0306;"--40/+100°C; 0/20mV; 0/50mV; 0/100mV; 0/200mV; 0/500mV; 0/1V; 0/2V; 0/5V; 0/10V; 1/5V; 4/20mA";"±1 °C; ±0,1 %FS; ±0,4 %RV";Conforme;Alerte Etalonnage/Vérification;05/07/2022 00:00;05/07/2023 00:00;12 Mois;NA;
EPE;A-ATEX-02;X channel data logger;;CMAG0307;"-40/+100°C; 0/20mV; 0/50mV; 0/100mV; 0/200mV; 0/500mV; 0/1V; 0/2V; 0/5V; 0/10V; 1/5V; 4/20mA";"±1 °C; ±0,1 %FS; ±0,4 %RV";Conforme;Alerte Etalonnage/Vérification;05/07/2022 00:00;05/07/2023 00:00;12 Mois;NA;
EPE;A-ATEX-02;Thermocouple;;CMAG0421;-40/+100 °C;±2 °C;;Perdu;;;;NA;
EPE;A-ATEX-02;Thermocouple;;CMAG0450;-40/+100 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;05/07/2021 15:57;05/07/2023 15:57;24 Mois;NA;
MET;A-MET-01;Torque wrench;;CMAG0457;20/100 Nm;±4 %;Conforme;Alerte Etalonnage/Vérification;27/07/2021 09:53;27/07/2023 09:53;24 Mois;NA;
EPE;A-ATEX-01;Pressure gauge;;CMAG0487;-1/+3 bar;±1 %RV;Conforme;Alerte Etalonnage/Vérification;20/07/2021 11:24;20/07/2023 11:24;24 Mois;151701551;
EPE;A-ATEX-01;Pressure gauge;;CMAG0488;-1/+3 bar;±1 %RV;Conforme;Alerte Etalonnage/Vérification;20/07/2021 11:12;20/07/2023 11:12;24 Mois;170303002;
EPE;A-ATEX-01;Pressure gauge;;CMAG0490;0/10 bar;±1 %RV;Conforme;Alerte Etalonnage/Vérification;20/07/2021 13:24;20/07/2023 13:24;24 Mois;172601050;
EPE;A-ATEX-02;Thermocouple;;CMAG0503;-40/+100 °C;±2 °C;Conforme;En service;22/08/2022 14:31;22/08/2024 14:31;24 Mois;;
MET;ARMOIRE;Pressure gauge;;CMET0015;0/600 mbar;±6 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 13:42;23/07/2023 13:42;24 Mois;125001485;
MET;PENDULE CHOC;Pyramidal impactor;;CMET0028;30 J;±0,5 J;Conforme;Alerte Etalonnage/Vérification;26/06/2015 00:00;26/06/2023 00:00;96 Mois;NA;
MET;ARMOIRE ;Thermocouple;;CMET0031;-40/+100 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;15/06/2021 00:00;15/06/2023 00:00;24 Mois;NA;
MET;ARMOIRE;Pressure gauge;;CMET0036;-1/+3 bar;±30 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 09:24;23/07/2023 09:24;24 Mois;50907;
MET;MET044;Climatic chamber;;CMET0040;30/70 °C;±2 °C;Conforme;Retard (dans tolérance) Etalonnage/Vérification;16/05/2022 00:00;16/05/2023 00:00;12 Mois;NA;"02/05/2018: TOL: +/- 1°C à +/- 2°C.

Utilisation avec Restriction avec Thermocouple.

Restriction de la zone d'utilisation selon rapport d'étalonnage.
 Demande de BV froid de réajuster la tolérance.


12/07/2018:  Isolation et réglage de l'enceinte. Réajustement de l'offset.

16/07/2019: Balliser la zone au milieu + mail de Jean-Philippe ROLINAT.

10/11/2020: sous dérogation, utilisation de l'enceinte avec des thermocouples sur des réservoirs suis à la non conformité de juin 2020.

15/06/2021: l'enceinte est mise en moyen d'approche. Utilisation avec des thermocouples sur les réservoirs.
"
MET;ARMOIRE;Torquemeter;;CMET0049;0/+500 Nm;± 2% FS;Conforme;Envoi Etalonnage/Vérification en cours;04/11/2020 00:00;04/11/2022 00:00;24 Mois;23;
NVH;ARMOIRE;Mono axis accelerometer;;CNVH0007;"± 50 g; 0,5 - 10 000Hz";"100mV/g ±10 %; <5 %RV";Conforme;En service;19/04/2023 00:00;19/04/2025 00:00;24 Mois;"474604
30514";
NVH;ARMOIRE;Frequency calibrator;;CNVH0017;"1 kHz; 94 dB/114 dB";±0,2 dB;Conforme;Envoi Envoi Etalonnage/Vérific en cours;17/02/2021 00:00;17/02/2023 00:00;24 Mois;NA;
NVH;ARMOIRE;Scale;;CNVH0051;0/60 kg;±10 g;Conforme;Etalonnage/Vérification en cours;07/06/2021 08:55;07/06/2023 08:55;24 Mois;NA;
QUA;ARMOIRE;Pied à coulisse;;CQUA0021;0 / 200 mm;± 0,060 mm;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;sans;
QUA;B. BAUDOUX;Pied à coulisse;;CQUA0024;0 / 200 mm;± 0,060 mm;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;sans;
QUA;V. LOPATA;Pied à coulisse;;CQUA0030;0 / 200 mm;± 0,060 mm;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;1308449;
QUA;LE SERVICE;Micromètre d'extérieur;;CQUA0052;25 - 50;Respect de la norme détalonnage;Conforme;Envoi Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;SANS;
QUA;ARMOIRE;Mesureur d'épaisseur;;CQUA0057;0/+10 mm;Respect de la norme détalonnage;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;SANS;
QUA;O. CASTEL;Mesureur d'épaisseur;;CQUA0068;0/+20 mm;± 0,1 mm;Conforme;En service;24/08/2021 14:06;24/08/2023 14:06;24 Mois;SANS;
QUA;V. LOPATA;Mesureur d'épaisseur;;CQUA0072;0/+10 mm;Respect de la norme détalonnage;;Perdu;;;;DC02M027;
QUA;LE SERVICE;Comparateur à tige rentrante;;CQUA0090;12,7 mm;Respect de la norme détalonnage;Conforme;Envoi Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;SANS;
QUA;ARMOIRE;Jauge de profondeur;;CQUA0092;0/+300 mm;Respect de la norme détalonnage;Conforme;Sommeil;02/06/2021 00:00;02/06/2023 00:00;24 Mois;SANS;
QUA;LE SERVICE;Jauge de profondeur;;CQUA0096;0/+300 mm;Respect de la norme détalonnage;Conforme;Sommeil;02/06/2021 00:00;02/06/2023 00:00;24 Mois;11370;
MET;;Profil projector;;CQUA0108;X50 mm / Y50 mm / Angle: 0/30°;" X,Y : ±10 µm ; Angle : ±0,1°";Conforme;Retard (dans tolérance) Etalonnage/Vérification;01/06/2021 11:46;01/06/2023 11:46;24 Mois;90134;
QUA;LE SERVICE;Bras de mesure 3D;;CQUA0123;7 Axes;Respect de la norme détalonnage;Conforme;Alerte Etalonnage/Vérification;12/07/2022 00:00;12/07/2023 00:00;12 Mois;75 35 SE-1873-FA ;
QUA;LE SERVICE;Scanner;;CQUA0126;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;12/07/2022 00:00;12/07/2023 00:00;12 Mois;75 35 SE-1873-FA ;
QUA;LE SERVICE;Cale étalon;;CQUA0130;1,005 - 60 mm;Respect de la norme détalonnage;Voir documents;Alerte Etalonnage/Vérification;20/06/2017 00:00;20/06/2023 00:00;72 Mois;SANS;
QUA;LE SERVICE;Niveau de précision;;CQUA0140;0.02 mm/m;Respect de la norme détalonnage;;Non soumis à l'étalonnage;;;;SANS;
QUA;LE SERVICE;Balance;;CQUA0144;50kg;±100 g;Conforme;Alerte Etalonnage/Vérification;18/06/2021 15:15;18/06/2023 15:15;24 Mois;SANS;
QUA;LE SERVICE;Balance;;CQUA0145;50kg;±100 g;Conforme;Alerte Etalonnage/Vérification;18/06/2021 15:13;18/06/2023 15:13;24 Mois;SANS;
QUA;LE SERVICE;Pied à coulisse;;CQUA0191;0 / 200 mm;Respect de la norme détalonnage;Conforme;Sommeil;02/06/2021 00:00;02/06/2023 00:00;24 Mois;sans;
QUA;ARMOIRE;Pied à coulisse;;CQUA0192;0 / 200 mm;Respect de la norme détalonnage;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;sans;
QUA;ARMOIRE;Bras de mesure 3D;;CQUA0239;7 Axes;Respect de la norme détalonnage;Conforme;Dépassement tolérance Etalonnage/Vérification;26/04/2022 10:29;26/04/2023 10:29;12 Mois;75 40 SI- 4908-FA;
QUA;TAYLOR HOBSON;CALE ETALON;;CQUA0248;To be defined;To be defined;Conforme;En service;08/08/2018 13:48;08/08/2023 13:48;60 Mois;112/4319;
QUA;TAYLOR HOBSON;CALE ETALON;;CQUA0249;To be defined;To be defined;Conforme;En service;08/08/2018 13:50;08/08/2023 13:50;60 Mois;112-2233;
QUA;ARMOIRE;Bras de mesure 3D;;CQUA0250;7 Axes;Respect de la norme détalonnage;Conforme;Envoi Etalonnage/Vérification en cours;10/01/2022 14:47;10/01/2023 14:47;12 Mois; 75 35 SI-5975-FA;
SCR;SCR-011;Climatic chamber;;CSCR0007;-40/+100 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;11/07/2022 11:25;11/07/2023 11:25;12 Mois;5,6766E+13;"12/07/2018: Enceinte remis en  NON  conforme.

Utilisation avec un thermocouple étalonnée + afficheur de température.

Maintenance changement de la résistance.
"
SCR;SCR-003;Climatic chamber;;CSCR0009;-40/+100 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;15/06/2022 09:10;15/06/2023 09:10;12 Mois;8540;
SCR;A-SCR-02;Multimeter;;CSCR0088;"0/1 kOhm; 0/100 kOhm; 0/1 Mohm; 0/100V DC; 0/3 A DC";"±20 mOhm; ±2 Ohm; ±30 Ohm;  ±10 mV; ±5 mA";Conforme;Alerte Etalonnage/Vérification;01/08/2022 00:00;01/08/2023 00:00;12 Mois;MY47068320;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0159;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 10:16;05/08/2023 10:16;24 Mois;LOC-317A037-0002;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0160;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 11:06;05/08/2023 11:06;24 Mois;LOC-319A191-0006;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0161;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 00:00;05/08/2023 00:00;24 Mois;LOC-321A086-0005;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0162;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 11:42;05/08/2023 11:42;24 Mois;LOC-3210A086-0002;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0163;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 13:10;05/08/2023 13:10;24 Mois;LOC-321A086-0006;
SCR;PPM-SCR-10;Stabilized power supply;;CSCR0164;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;05/08/2021 13:20;05/08/2023 13:20;24 Mois;LOC-321A086-0003;
SCR;TO BE DEFINED;Stabilized power supply;;CSCR0165;"0/20 V;0/38 A";Approach device;;Non soumis à l'étalonnage;;;;LOC-424A180-0007;
SCR;PPM-SCR-14;Stabilized power supply;"Identification : CLAB0415, N° de Série : 1CAC4FE
Identification : CLAB0067, N° de Série : 1A68C10";CSCR0166;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;07/07/2021 14:46;07/07/2023 14:46;24 Mois;NA;
SCR;PPM-SCR-14;Stabilized power supply;;CSCR0167;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;08/07/2021 10:30;08/07/2023 10:30;24 Mois;LOC-141Z112-0001;
SCR;PPM-SCR-14;Stabilized power supply;;CSCR0168;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;07/07/2021 14:40;07/07/2023 14:40;24 Mois;LOC-141Z112-0008;
SCR;PPM-SCR-14;Stabilized power supply;;CSCR0169;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;07/07/2021 14:48;07/07/2023 14:48;24 Mois;NA;
SCR;PPM-SCR-14;Stabilized power supply;;CSCR0170;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;07/07/2021 14:52;07/07/2023 14:52;24 Mois;NA;
SCR;SCR-029;Climatic chamber;;CSCR0184;-40/+100 °C;±2 °C;Conforme;En service;15/08/2022 09:00;15/08/2023 09:00;12 Mois;5,6766E+13;"
02/05/2018: TOL: +/- 1,5 °C à +/- 2°C."
SCR;A-SCR-02;Refractometer;;CSCR0203;0/ 54,2%;± 0,3 %;Conforme;Envoi Envoi Etalonnage/Vérific en cours;22/04/2021 12:38;22/04/2023 12:38;24 Mois;H932082;
SCR;A-SCR-02;Multimeter;;CSCR0217;"0/1 kOhm; 0/100 kOhm; 0/1 Mohm; 0/100V DC; 0/3 A DC";"±20 mOhm; ±2 Ohm; ±30 Ohm;  ±10 mV; ±5 mA";Conforme;Alerte Etalonnage/Vérification;21/06/2022 00:00;21/06/2023 00:00;12 Mois;NA;
SCR;A-SCR-02;Pressure sensor;;CSCR0219;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;16/06/2021 14:00;16/06/2023 14:00;24 Mois;4362264;
SCR;A-SCR-02;Pressure sensor;;CSCR0221;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;14/06/2021 00:00;14/06/2023 00:00;24 Mois;4366027;
