Code;Identification;Localisation;Domaine de mesure;Famille d'instrument;Désignation;Etat d'utilisation;Fourniseur;Gestionnaire;Intervention;Périodicité Arg;Périodicité Nb;Procédure;Tolérance;Tolérance Arg;Durée (j);Durée (h);Durée (min);Seuil alerte;Seuil alerte Arg;Type périodicité;Calcul de périodicité;Date campagne;Anticipation;Nom intervention mise en sommeil;Nom intervention remise en service;Lieu d'intervention;Entrée/Sortie via mouvements;Prestataire;Détail;Coefficient d'utilisation
PLAST-60;CSCR0138;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-11;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0139;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-15;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0140;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-06;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0141;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-04;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0142;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-04;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0143;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-01;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0144;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-07;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0145;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-07;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0146;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-07;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0147;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-07;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0148;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0149;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0150;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0151;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0152;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0153;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-18;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0154;LABORATOIRE DEVELOPPEMENT / SCR / Banc F. Test;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
